name,x,y
abalone,5.244451,8.943239
abalone_mushroom,5.382994,9.593408
absinthe,0.19164494,5.469517
acacia,3.4192307,7.9514236
acai,2.4417057,6.9421983
acerola,1.7032346,7.8926578
achiote_paste,6.9076385,4.5181823
acorn,4.853821,5.668347
acorn_squash,4.6844363,5.742697
activated_charcoal_powder,2.2701135,7.70016
adjika,3.6102931,5.7593675
adobo_sauce,6.4928007,4.374236
adobo_seasoning,6.518211,4.518805
advocaat,0.51994425,6.3127246
agar,2.1870542,8.11367
agati_flower,7.1795516,9.023369
agave_syrup,2.504601,6.8348465
aguardiente,1.7507385,5.5324655
aji_amarillo,7.2424173,5.061576
aji_panca,7.2651706,5.081007
ajvar,5.081658,4.920769
ajwain,8.120385,6.559424
alcaparrado,6.789458,4.759323
aleppo_pepper,5.5314884,4.9383435
alfalfa_sprout,5.3982487,5.116257
alfredo_sauce,5.425828,4.3592496
alligator,4.0190096,9.010646
allspice,1.9262538,5.470871
allulose,2.9885526,8.145377
almond,1.612132,5.916545
almond_butter,2.532667,6.892605
almond_milk,2.4091778,6.9400263
almond_paste,1.0971662,6.5757504
almond_tofu,1.9858469,6.5035887
aloe_vera,2.37265,8.367563
alum,7.0574446,7.6117225
amaranth,4.8080826,8.287215
amaretti_cookie,0.838007,6.373827
amaretto,0.63212323,6.304917
amaro,0.19169678,5.4688053
amazake,2.4003706,6.6797967
amberjack,5.9312525,6.665832
amchur,8.090783,6.534585
american_cheese,5.9073267,4.049481
anaheim_chile,6.466739,4.399659
anardana_powder,8.132203,6.530842
ancho_chile,6.7827215,4.425235
anchovy,5.8300624,5.9953995
andouille_sausage,6.1581945,4.8398438
angelica_root,3.6693406,9.0040455
anise,1.76394,5.511528
anisette,0.96491164,5.402253
annatto_seed,7.23234,8.863861
aonori,5.467265,7.982161
apple,1.4961243,5.5891576
apple_brandy,0.41016737,5.4312296
apple_cider,1.0094404,5.3429704
apple_cider_vinegar,5.9272017,5.5673847
apple_pie_spice,1.1223359,6.614057
applewood_chip,5.8003907,4.739072
apricot,1.4868374,5.8520865
apricot_brandy,0.36066648,5.633525
aquafaba,4.7992253,6.082873
aquavit,0.3555646,5.5121183
arame,5.070532,6.7919564
arctic_char,5.739411,5.661667
arepa,6.8078074,4.612866
argan_oil,4.669198,5.28544
armagnac,0.85132504,5.332348
aronia_berry,2.3551831,5.9484906
arrowhead,5.3923683,9.378694
arrowroot,2.3377824,6.8675146
artichoke,5.426422,5.1555533
arugula,5.4749494,5.682825
asafoetida,8.101047,6.6337724
asam_gelugur,7.767025,7.9486914
ascorbic_acid,1.8117,6.5539484
asiago_cheese,5.275923,4.481699
asian_pear,4.150819,7.206316
asparagus,5.628579,6.1480536
astragalus_root,3.6179817,9.042557
avocado,6.070569,5.655651
avocado_oil,4.8905535,6.2642937
ayran,3.312607,5.265852
bacon,6.269728,5.7621717
bagel,5.451033,4.17873
baharat,4.5672083,5.539308
bai_ji_mo,5.6337104,9.760887
baijiu,6.3481355,8.61804
bak_kut_teh_spice,5.303917,9.174722
baked_beans,6.4730005,4.550934
bakers_ammonia,1.8543907,7.0167203
baking_powder,1.7402328,6.322827
baking_soda,1.7250755,6.3704515
balado_seasoning,7.7407193,7.978415
balsamic_vinegar,5.472112,5.7065434
balut,7.1259255,9.009698
balyk,3.610645,5.8522887
bamboo_leaf,3.359384,8.377822
bamboo_pith_mushroom,4.514679,9.221752
bamboo_salt,5.7425985,9.186617
bamboo_shoot,5.9943366,8.62693
banana,1.2478173,6.2768955
banana_blossom,7.19864,8.97222
banana_leaf,7.53382,8.161202
banana_pepper,5.8557673,4.301954
barbecue_sauce,6.1305957,4.804342
barbecue_seasoning,6.242227,8.37072
barberry,3.7306454,5.675839
barley,3.3469224,8.766957
barley_grass,2.4915988,7.7601714
barramundi,5.833517,7.330506
basa,6.0177846,9.110545
basil,5.9806085,5.8464513
basil_seed,2.3480554,8.360289
basmati_rice,7.6041965,6.224525
batang_fish,6.1568427,9.575856
bay_leaf,6.308184,6.4127235
bean,6.307907,6.0861464
bean_sprout,6.2088323,8.32655
bear_meat,5.851606,4.6993628
bearnaise_sauce,5.7536764,4.649734
bechamel,4.9280033,4.989345
bee_pollen,2.5025885,6.9138584
beef,6.271016,6.0695367
beer,6.4662175,7.421487
beet,5.455531,5.9816513
bel_paese_cheese,4.9429574,4.6927695
bell_pepper,6.2851453,6.0595694
bellflower_root,3.3536792,8.982956
benedictine,0.16845056,5.4254394
berbere,7.71558,6.2193985
bergamot,2.5075994,8.223992
berry,1.2937887,5.65324
bilimbi,7.722212,8.003417
birds_eye_chili,6.3563004,8.469275
birds_nest,2.6262627,8.589431
biryani_masala,7.808361,6.323265
biscotti,0.8923784,6.4039006
biscuit,1.2106165,6.7396274
bison,5.828011,4.8239393
bitter_almond,3.379541,9.005388
bitter_green,5.6703863,9.672242
bitter_melon,6.394089,8.731925
bitter_orange,6.858379,4.7607703
bittern,5.4435544,9.009978
bitters,0.4041194,5.418795
black_bean,6.544549,4.7268734
black_bean_paste,6.261498,8.980728
black_currant,1.4413968,5.7582893
black_eyed_pea,6.456296,4.899373
black_garlic,5.1551213,6.5268226
black_olive,5.924496,5.572377
black_pepper,6.221252,6.0669656
black_rice,3.3202128,8.471877
black_salt,7.9946756,6.470055
black_sesame_seed,2.8743165,8.033653
black_tea,2.0024695,8.043513
black_treacle,1.5149636,6.661531
black_truffle,4.9830155,5.509499
black_vinegar,5.537599,9.054985
blackberry,1.0700095,5.893753
blackening_seasoning,6.118367,4.7577214
blood_orange,0.8286593,5.9114823
blood_sausage,6.422481,5.209372
blood_tofu,5.6853347,9.6932125
bloody_mary_mix,5.7926445,4.2859883
blue_cheese,4.8673534,4.921638
blue_curacao,0.53241944,6.707371
blueberry,1.0714766,5.826332
bluefish,5.6714425,5.1056724
bok_choy,5.759133,8.752702
bolillo,6.936392,4.329405
bolognese_sauce,5.016176,4.5798674
bombay_duck_fish,5.904136,9.675913
bone,4.209187,9.131039
bone_marrow,6.751588,8.974381
bonito,5.5971193,8.163411
bonito_flakes,5.5937443,8.154024
borage,3.134806,5.406184
borlotti_bean,5.0161486,5.936084
bottarga,4.9556265,5.0793915
bottle_gourd,5.610502,8.688662
bouquet_garni,5.1692095,5.3285213
bourbon,0.6493036,5.4659605
boursin_cheese,5.1720076,4.655729
boysenberry,0.9453783,6.315507
braising_liquid,6.2292647,9.129829
bran,2.3936617,6.698312
brandy,0.7911784,5.430873
branzino,5.5816793,5.2188873
bratwurst,5.9903197,4.7789207
braunschweiger,5.485469,4.2401586
brazil_nut,2.3348186,6.9328403
bread,6.1290183,5.7758107
bread_crumbs,6.0653753,5.811118
breadfruit,2.6929524,8.383821
bream,6.0925756,9.20463
bresaola,4.8090396,4.649626
brewers_yeast,2.6142263,6.6686745
brick_cheese,5.7539673,4.106994
brick_tea,2.431512,8.236248
brie_cheese,4.8662786,4.8291726
brine,6.2705164,8.201079
brioche,1.5461684,6.3017626
broccoli,6.1937428,6.402387
broccoli_rabe,5.074369,4.810107
broccolini,5.2523537,4.9643474
broth,6.4075613,7.8932343
brown_rice,4.9262543,6.2554574
brown_sauce,5.153454,5.276313
brown_sugar,1.6194061,5.7603407
browning_sauce,5.8267245,4.870864
brussels_sprout,4.798226,5.631398
bryndza,3.5957575,5.8218822
buckwheat,3.03206,6.916268
budae_jjigae_base,5.541534,9.408681
buffalo_meat,5.812164,4.556314
buffalo_milk,2.503593,8.171701
buffalo_wing_sauce,6.055083,4.2292867
buldak_sauce,5.5336304,9.637562
bulgogi,5.6320267,7.74435
bulgur,4.214736,5.644766
burdock_root,5.497722,8.342517
burrata,4.8316946,4.927971
butifarra,6.6480966,5.24849
butter,1.8237501,6.083088
buttercream,1.1123874,6.9777985
butterfish,5.6157527,5.2485886
butterfly_pea_flower,2.3162887,8.13429
buttermilk,1.7135923,6.0031815
butternut_squash,5.549831,5.47894
butterscotch,0.7554806,6.5003657
cabbage,6.339896,6.999828
cacao,1.9210806,6.752735
cachaca,0.17849992,5.4946265
caciocavallo,4.80056,4.808292
caesar_dressing,5.490977,4.449847
cajeta,1.0009861,6.837206
cajun_seasoning,6.1690974,4.8272767
calabrian_chili,4.9278083,4.785398
calamansi,7.588773,8.06471
calcium_chloride,3.7505746,6.1699557
calendula,1.4106047,6.1697063
calpis,1.3132138,7.381029
calvados,0.7602248,5.272284
camellia_oil,5.6212873,9.014165
camembert_cheese,5.040269,4.7762923
campari,0.1770663,5.650907
canadian_bacon,5.68544,4.343422
candied_fruit,1.4288121,6.219724
candlenut,7.7527685,7.882569
candy,1.2100158,6.8245673
candy_coating,0.9333381,6.7873363
cane_syrup,2.3048444,5.341553
cane_vinegar,6.2323728,4.948902
cannellini_bean,5.7414665,5.304252
cannoli_shell,0.7749606,6.5313115
canola_oil,5.9194903,5.9728556
cantal_cheese,5.014678,4.689681
cantaloupe,1.09652,5.6747246
cape_gooseberry,1.2338797,6.4930034
capelin,3.9304824,5.9790235
caper,5.952671,5.6895275
caperberry,5.1700892,5.4368005
capicola,4.9815927,4.512378
capon,5.30432,6.3992558
caramel,1.1473085,6.4900646
caraway_seed,5.3265734,5.581428
cardamom,1.8394794,5.5377827
cardoon,5.046453,5.1468616
carob,2.4143894,6.826884
carob_molasses,2.0965984,6.349111
carp,6.4924054,9.121978
carrageenan,1.9850084,7.3453655
carrot,6.265278,6.3652873
carrot_top,5.8081603,5.078876
cartilage,5.765243,9.554987
cascabel_chile,6.8649926,4.2931805
cashew,2.6002827,6.8219647
cassava,7.2988486,8.760249
catfish,6.821011,8.296227
catnip,5.6912374,9.422031
cattail,4.4645176,8.872168
caul_fat,5.939138,9.192596
cauliflower,6.055181,6.252513
cava,0.35318378,5.607857
caviar,5.2076797,7.4644437
cayenne_pepper,5.9199605,5.6298895
celeriac,5.0764794,5.751302
celery,6.099012,5.957315
celery_seed,6.0627246,4.5245013
celtuce,6.156312,9.164368
century_egg,5.750315,8.907431
cereal,2.1621683,6.432844
chaat_masala,8.094519,6.5090127
chai_spice,0.98936397,6.5815268
chamomile,1.2611408,6.050921
champagne,0.5576774,5.478909
champagne_vinegar,5.2208953,5.6272435
chana_dal,8.092402,6.6288366
chanterelle_mushroom,4.8916955,5.4113994
chaozhou_salted_vegetable,5.7117076,9.741779
char_siu_pork,6.312756,9.139786
char_siu_sauce,6.3744698,9.090427
chartreuse,0.19775671,5.54465
chayote,6.882805,8.003519
cheddar_cheese,5.898396,4.112596
cheese,6.1886806,5.9660034
cheongyang_chili,5.4630485,9.27044
cherry,1.180697,5.629695
cherry_blossom,1.7695767,7.622063
cherry_leaf,2.4065897,5.927514
cherry_liqueur,0.6094604,5.8753667
cherry_pepper,5.0874944,4.6301646
cherry_plum,3.0824635,5.880709
chervil,5.6046104,5.915843
cheshire_cheese,4.4870853,4.8280168
chestnut,3.7793467,8.825261
chia_seed,2.458703,6.941699
chicha,7.251313,5.0533686
chicken,6.4820104,6.773238
chicken_broth,6.4344788,7.696951
chicken_fat,4.992568,9.043463
chickpea,5.366296,6.208426
chicory,5.170097,7.4233956
chihuahua_cheese,6.924282,4.261102
chikuwa,5.405967,8.099966
chile_de_arbol,6.785675,4.444321
chili_garlic_sauce,6.2855906,8.671281
chili_oil,6.1817303,8.697845
chili_paste,6.373125,8.317253
chili_pepper,6.5099654,8.057387
chili_powder,6.65416,6.823254
chili_sauce,6.3526707,8.3861475
chiltepin,6.886584,4.4334006
chinese_bayberry,2.181243,8.409559
chinese_broccoli,5.8419633,9.1092
chinese_celery,6.192276,8.941482
chinese_cured_pork,5.5088615,9.111647
chinese_preserved_olive,5.639151,9.094339
chinese_sausage,5.6471643,9.079991
chinese_toon,5.771791,9.080849
chinese_yam,3.6289852,9.011996
chipotle_pepper,6.6048613,4.322988
chirimen_jako,5.384832,7.8990135
chive,6.4336004,8.037766
chive_flower,5.884412,8.882469
chocolate,1.2630023,6.4963346
chocolate_hazelnut_spread,1.0789452,6.6045475
chocolate_liqueur,0.5647696,6.4176993
chokecherry,1.032842,6.2662573
choricero_pepper,6.618543,5.2460604
chorizo,6.5810966,4.7857203
choux_pastry,1.4809394,7.2883124
choy_sum,5.5511427,9.025359
chrysanthemum,3.2003772,8.916072
chu_hou_paste,6.429326,9.065104
chunjang,5.3834476,9.498786
chuno,7.285506,5.1182
chutney,5.428246,5.562017
ciabatta,4.8808055,4.554989
cicada,5.9808173,9.714326
cinnamon,1.6608689,5.632325
cipollini_onion,5.1926413,5.1826687
citric_acid,2.2942417,6.075826
citron,1.2455705,6.3238454
citrus,3.2377458,8.960271
clam,6.13565,7.5207677
clamato_juice,6.1561546,4.4447784
clay_pot_rice_sauce,5.3463745,9.746954
clear_gel,0.9880676,6.2330046
clementine,0.9093343,5.9435706
clotted_cream,1.8646317,6.342166
clove,1.8074869,5.5630426
clover,5.490826,9.1436205
club_soda,0.5692964,5.520823
cobia,7.232574,9.09317
cockle,6.165123,6.970527
cocktail_sauce,5.84118,4.2202334
cocoa_butter,1.8241525,7.1080413
cocoa_mass,1.7806469,7.0839343
cocoa_powder,1.4324902,6.527172
coconut,1.8457593,7.0024
coconut_aminos,4.9774837,6.2878714
coconut_cream,0.74012685,5.866622
coconut_liqueur,0.45982784,5.7820973
coconut_milk,2.6331148,7.3626046
coconut_oil,2.4482913,6.8476267
coconut_sugar,2.5916593,7.0965524
coconut_vinegar,1.5724946,7.266624
coconut_water,2.3737378,8.227762
cod,6.1395206,7.5053577
cod_liver,3.6874955,5.793182
coffee,1.2619475,6.481596
coffee_creamer,0.94973713,6.7723417
coffee_liqueur,0.6747652,6.3936143
cognac,0.85795754,5.387403
coix_seed,3.2010376,8.279388
cola,0.22348067,5.766327
colby_cheese,6.008284,4.024626
cold_jelly_noodle,5.331501,9.719505
collard_green,5.9342995,5.0749836
comte_cheese,5.1702547,4.5786753
conch,4.392927,9.218328
condensed_milk,1.5023379,6.6225147
consomme,4.893929,4.7083926
cookie,1.2444845,6.6020455
cookie_butter,0.94151574,6.801799
cooking_spray,5.842933,5.3826156
copha,1.0646038,6.7679725
cordyceps_flower,4.3178654,9.162628
coriander,6.6145163,6.905753
coriander_root,6.520414,8.962166
corn,6.4121995,6.5651045
corn_flakes,1.4443823,6.617489
corn_husk,6.7889156,4.1118636
corn_oil,2.3909986,7.7546988
corn_relish,5.826556,4.529422
corn_silk,3.448583,8.931767
corn_syrup,1.147109,6.503915
corn_tortilla,6.601751,4.12015
cornbread,6.2589636,4.0308437
corned_beef,5.916483,4.087548
cornelian_cherry,2.9877841,5.978261
cornmeal,5.8923674,6.044668
cornstarch,1.6795113,6.2917295
corvina,7.1516724,5.136756
cotija_cheese,6.800168,4.362078
cottage_cheese,2.2573302,6.110864
